time/fps,time/total_timesteps,time/time_elapsed,time/iterations,rollout/ep_rew_mean,rollout/ep_len_mean,train/value_loss,train/approx_kl,train/std,train/clip_range,train/clip_fraction,train/loss,train/policy_gradient_loss,train/explained_variance,train/entropy_loss,train/n_updates,train/learning_rate
1333,3956736,2967,483,934.8837005299999,254.18,0.006829542225872842,0.035549857,0.17236335575580597,0.2,0.33468017578125,-0.015450733713805676,0.004282100041382364,0.985519484616816,1.0181220951490104,4840,0.0003
1333,3964928,2973,484,934.1236729999999,254.03,0.0001912971460868107,0.03499427,0.17233498394489288,0.2,0.2953857421875,0.0009165969677269459,0.005750409086977016,0.9959416990168393,1.0314181321300566,4850,0.0003
1333,3973120,2979,485,939.0413760600001,254.99,7.071098956998867e-05,0.032145813,0.17040479183197021,0.2,0.30706787109375,0.0036281130742281675,0.002531131854902924,0.9993175262352452,1.0493546878919005,4860,0.0003
1333,3981312,2985,486,931.0836116799999,253.57,5.107812019389257e-05,0.039617814,0.17064005136489868,0.2,0.33228759765625,-0.03406031057238579,0.0022014904505340384,0.9997034959960729,1.0542780461721122,4870,0.0003
1333,3989504,2991,487,932.2157268100002,253.94,0.007099248404188074,0.0372976,0.17096757888793945,0.2,0.336572265625,0.03929390013217926,0.0009482756755460287,0.9845104496926069,1.0366335378028453,4880,0.0003
1333,3997696,2997,488,932.0316258700001,253.89,0.00019435979202313546,0.03563498,0.1699812412261963,0.2,0.3071044921875,-0.007213931996375322,0.0035842964043695247,0.998324517859146,1.0611907944083214,4890,0.0003
1333,4005888,3003,489,940.1523955299999,255.64,8.828220890393368e-05,0.04004632,0.17134122550487518,0.2,0.32218017578125,-0.02882794477045536,0.007093674432144326,0.9995618715183809,1.054281444940716,4900,0.0003
1333,4014080,3009,490,937.39077561,255.12,5.280996772256685e-05,0.030393474,0.17361585795879364,0.2,0.3174560546875,-0.033123929053545,0.004694844630648731,0.9997521825716831,1.0156611911021174,4910,0.0003
1333,4022272,3016,491,932.3380637600002,254.33,0.003213479050452861,0.03704951,0.17429189383983612,0.2,0.33280029296875,-0.017432253807783127,0.004018385725248663,0.9930948331020772,0.9880992835387588,4920,0.0003
1333,4030464,3022,492,924.67682214,252.91,0.006964857720601003,0.03797166,0.17587988078594208,0.2,0.328564453125,-0.007357679307460785,0.0032275093883072257,0.9830123204737902,0.969027072796598,4930,0.0003
1333,4038656,3028,493,929.3916265400002,253.83,0.009723815740312603,0.043902624,0.17646688222885132,0.2,0.34349365234375,-0.008246750570833683,0.002418245178523648,0.9785838406533003,0.9501212157309056,4940,0.0003
