rollout/ep_rew_mean,time/total_timesteps,rollout/ep_len_mean,time/iterations,time/fps,time/time_elapsed,train/policy_gradient_loss,train/value_loss,train/entropy_loss,train/std,train/learning_rate,train/clip_range,train/clip_fraction,train/loss,train/explained_variance,train/approx_kl,train/n_updates
938.85168672,450560,282.27,220,764,589,-0.00743013801111374,0.03180119356875366,-1.162462681159377,0.36342036724090576,0.0003,0.2,0.225439453125,0.01891946792602539,0.9223936125636101,0.02044813,2190
942.14289204,452608,283.15,221,764,592,-0.010598575076437555,0.0010626710802171147,-1.162441049516201,0.36352479457855225,0.0003,0.2,0.23740234375,-0.044406648725271225,0.9954515364952385,0.02352483,2200
939.3121957200002,454656,282.2,222,764,594,-0.011924913941766136,0.0007994542840606301,-1.1564692575484514,0.36186349391937256,0.0003,0.2,0.23359375,-0.011254527606070042,0.9975061360746622,0.024352483,2210
938.2607572899999,456704,281.88,223,764,597,-0.00985634694879991,0.0007480999805011379,-1.1259547777473926,0.35691770911216736,0.0003,0.2,0.238427734375,-0.015607550740242004,0.9976424304768443,0.020580167,2220
939.9169188300002,458752,282.35,224,764,600,-0.0175787566578947,0.0004524698041677766,-1.1050584346055985,0.35743996500968933,0.0003,0.2,0.234033203125,-0.03286708518862724,0.9984674821607769,0.022736376,2230
945.3475306800001,460800,283.71,225,764,602,-0.00909656528456253,0.0005700467735096027,-1.1013022743165493,0.3557857573032379,0.0003,0.2,0.21591796875,-0.010367998853325844,0.9981952193193138,0.020356752,2240
942.7114642500002,462848,283.07,226,764,605,-0.013757702797011006,0.0005796710836420971,-1.0963986948132516,0.3560028374195099,0.0003,0.2,0.228466796875,-0.027661629021167755,0.9979679137468338,0.023312304,2250
933.86704675,464896,280.6,227,764,608,-0.010408762721635868,0.0005160521434845577,-1.1062067583203317,0.35701799392700195,0.0003,0.2,0.2298828125,-0.018119649961590767,0.9979693405330181,0.020524377,2260
931.0684520399997,466944,279.54,228,764,610,-0.01860173094610218,0.0007246762234444759,-1.0868898127228022,0.35224831104278564,0.0003,0.2,0.2541015625,-0.03370682895183563,0.9976872052066028,0.026438389,2270
925.25887324,468992,277.92,229,764,613,-0.011395237515534973,0.00385210198983259,-1.0907965172082186,0.3552566468715668,0.0003,0.2,0.22431640625,-0.005585069768130779,0.9900333806872368,0.020985931,2280
925.4989664299999,471040,277.66,230,764,616,-0.008148566783347633,0.004723872268004925,-1.0954464711248875,0.3532026708126068,0.0003,0.2,0.255615234375,-0.02177429385483265,0.98888333234936,0.022749873,2290
931.9179203400001,473088,279.2,231,764,618,-0.01227260515006492,0.0009312482717177773,-1.063264323771,0.3497880697250366,0.0003,0.2,0.24716796875,-0.0364404059946537,0.9964282372966409,0.023214385,2300
